产品信息													属性信息															售后及其他信息							
id	catId	商品标题	商品图片1	商品图片2	商品图片3	商品图片4	商品图片5	商品图片6	最小计量单元	销售方式	每包	originalLocalName	品牌	材质	裙长	领型	性别	袖型	袖长(cm)	风格	尺码描述	内置胸罩	装饰	型号	图案类型	适用人群	裙型	库存扣减方式	发货期	物流重量	物流尺寸-长(cm)	物流尺寸-宽(cm)	物流尺寸-高(cm)	运费模板	服务模板
32993785553	31110	Girls Dresses Princess Sofia Dress Children  Party Cosplay  Costume Fancy G Stage Fantasy  Clothes Tutu	http://ae01.alicdn.com/kf/HTB15kakOjTpK1RjSZKPq6y3UpXai.jpg	http://ae01.alicdn.com/kf/HTB1gD8EOmzqK1RjSZFpq6ykSXXaW.jpg	http://ae01.alicdn.com/kf/HTB1_FXFOkzoK1RjSZFlq6yi4VXaw.jpg	http://ae01.alicdn.com/kf/HTB1ORpGObrpK1RjSZTEq6AWAVXae.jpg	http://ae01.alicdn.com/kf/HTB1EsVCObvpK1RjSZFqq6AXUVXaO.jpg	http://ae01.alicdn.com/kf/HTB1snpGOa6qK1RjSZFmq6x0PFXa0.jpg	套 (set/sets)	按最小计量单位出售	1	en_US	NONE(AE存量)*******	网纱	及膝裙	圆领	女童	泡泡袖	短的	新奇图案	尺码正常	否	串珠	KM171D	花朵	小孩儿	蓬蓬裙	付款减库存	7	0.200	34	27	2	400g for free shipping (Location: CN)	新手服务模板
32933034717	31110	Girls dress Belle Beauty and Beast Chrismas princess dress New Years costumes for girls kids clothing Girls clothes	http://ae01.alicdn.com/kf/HTB1fWxxbyLrK1Rjy1zdq6ynnpXaE.jpg	http://ae01.alicdn.com/kf/HTB1.MazdNTpK1RjSZFGq6AHqFXat.jpg	http://ae01.alicdn.com/kf/HTB1HF6sXovrK1RjSszfq6xJNVXaz.jpg	http://ae01.alicdn.com/kf/HTB11YpLXTjxK1Rjy0Fnq6yBaFXaR.jpg	http://ae01.alicdn.com/kf/HTB1V9YsXcTxK1Rjy0Fgq6yovpXa7.jpg		件/个 (piece/pieces)	按最小计量单位出售	1	en_US	NONE(AE存量)*******	网纱	及小腿肚裙	一字领	女童	花瓣袖	无袖	欧美	尺码正常	否	蝴蝶结		纯色	小孩儿	蓬蓬裙	付款减库存	7	0.300	20	20	5	400g for free shipping (Location: CN)	新手服务模板
32999156833	31110	Girls Dresses Princess Snow White Dress Children  Party Cosplay  Costume Fancy  Stage Fantasy  Clothes Tutu  Dress	http://ae01.alicdn.com/kf/HTB1HmozQXYqK1RjSZLeq6zXppXaH.jpg	http://ae01.alicdn.com/kf/HTB12NgCQjTpK1RjSZKPq6y3UpXag.jpg	http://ae01.alicdn.com/kf/HTB1o3oxQb2pK1RjSZFsq6yNlXXaP.jpg	http://ae01.alicdn.com/kf/HTB1sVn2QmzqK1RjSZPcq6zTepXa5.jpg			套 (set/sets)	按最小计量单位出售	1	en_US	NONE(AE存量)*******	COTTON	及小腿肚裙	圆领	女童	泡泡袖	短的	新奇图案	尺码正常	否	串珠	KM171D	花朵	小孩儿	蓬蓬裙	付款减库存	7	0.200	34	27	2	400g for free shipping (Location: CN)	新手服务模板
33001997850	31110	Girls Dresses Cartoon Princess Elsa Dress Cosplay children Costume Birthday Party Opera Children Stage Fantasy Tutu dress	http://ae01.alicdn.com/kf/HTB1Hi_4Rr2pK1RjSZFsq6yNlXXaE.jpg	http://ae01.alicdn.com/kf/HTB16F67RpYqK1RjSZLeq6zXppXaK.jpg	http://ae01.alicdn.com/kf/HTB1BBr4RBLoK1RjSZFuq6xn0XXa0.jpg	http://ae01.alicdn.com/kf/HTB19nr9RzTpK1RjSZKPq6y3UpXaE.jpg	http://ae01.alicdn.com/kf/HTB1oQIqRyLaK1RjSZFxq6ymPFXaE.jpg		套 (set/sets)	按最小计量单位出售	1	en_US	NONE(AE存量)*******	涤纶	及踝裙	小圆领	女童	常规	短的	新奇图案	尺码正常	否	蝴蝶结	KM153D	花朵	小孩儿	蓬蓬裙	付款减库存	7	0.250	34	27	2	400g for free shipping (Location: CN)	新手服务模板
32996093579	31110	Girls Dresses Princess Dress Unicorn Cosplay Dancing Summer Formal Wedding Birthday Party  Children Stage Fantasy Cloth Tutu	http://ae01.alicdn.com/kf/HTB1GbX_PXzqK1RjSZFCq6zbxVXaT.jpg	http://ae01.alicdn.com/kf/HTB1o7arPhnaK1RjSZFBq6AW7VXa4.jpg	http://ae01.alicdn.com/kf/HTB14S8tPmzqK1RjSZPcq6zTepXag.jpg	http://ae01.alicdn.com/kf/HTB1Tfd5PgHqK1RjSZFgq6y7JXXa9.jpg	http://ae01.alicdn.com/kf/HTB1e845PkvoK1RjSZPfq6xPKFXag.jpg		套 (set/sets)	按最小计量单位出售	1	en_US	NONE(AE存量)*******	网纱	及膝裙	小圆领	女童	常规	无袖	欧美	尺码正常	否	绣花	KM172D	花朵	小孩儿	蓬蓬裙	付款减库存	7	0.250	34	27	2	400g for free shipping (Location: CN)	新手服务模板
32974131122	31110	Girls Dresses Cap Girls Snow White Elsa Anna Princess imitation Cosplay Costume Children Stage Fantasy Christams Clothes	http://ae01.alicdn.com/kf/HTB1Uxyqa2fsK1RjSszbq6AqBXXaT.jpg						套 (set/sets)	按最小计量单位出售	1	en_US		涤纶	及小腿肚裙	圆领	女童	蝙蝠袖	Full	新奇图案	尺码正常	否	交叉形	cap	纯色	小孩儿	A字型	付款减库存	7	0.2	34	27	2	400g for free shipping (Location: CN)	新手服务模板
32955952672	31110	Girls Dresses Girls Princess Belle Dress with Cape Children  Party Cosplay Costume Children Stage Fantasy Christams Clothes	http://ae01.alicdn.com/kf/HTB1gxnqXPLuK1Rjy0Fhq6xpdFXaS.jpg	http://ae01.alicdn.com/kf/HTB1U2SdXZ_vK1RkSmRyq6xwupXac.jpg	http://ae01.alicdn.com/kf/HTB1QdiaXZnrK1RkHFrdq6xCoFXab.jpg	http://ae01.alicdn.com/kf/HTB10lmfX.rrK1RkSne1q6ArVVXaO.jpg			套 (set/sets)	按最小计量单位出售	1	en_US		网纱	及小腿肚裙	一字领	女童	花瓣袖	无袖	新奇图案	尺码正常	否	PATTERN	KM65D	印花	小孩儿	蓬蓬裙	付款减库存	7	0.2	34	27	2	400g for free shipping (Location: CN)	新手服务模板
32975590306	31110	Girls Dresses Princess Dress For Girl Dance Formal Wedding Birthday Party Wears Flower Girls Children Stage Fantasy Clothes Tutu	http://ae01.alicdn.com/kf/HTB1wPfFbizxK1RjSspjq6AS.pXaL.jpg	http://ae01.alicdn.com/kf/HTB1EQLybo_rK1Rjy0Fcq6zEvVXaF.jpg	http://ae01.alicdn.com/kf/HTB103_AbfLsK1Rjy0Fbq6xSEXXaC.jpg	http://ae01.alicdn.com/kf/HTB1hQ6HbijrK1RjSsplq6xHmVXaM.jpg	http://ae01.alicdn.com/kf/HTB16zHBbojrK1RkHFNRq6ySvpXa7.jpg		套 (set/sets)	按最小计量单位出售	1	en_US		网纱	及膝裙	小圆领	女童	常规	无袖	欧美	尺码正常	否	蝴蝶结	KM154D	纯色	小孩儿	蓬蓬裙	付款减库存	7	0.25	34	27	2	400g for free shipping (Location: CN)	新手服务模板
32967444267	31110	Girls Dresses Princess Dress Dancing  dress Formal Wedding Birthday Party Wear Children Stage Fantasy Cloth Tutu Vestidos	http://ae01.alicdn.com/kf/HTB1p_JqaI_vK1Rjy0Foq6xIxVXan.jpg	http://ae01.alicdn.com/kf/HTB15U8DaLjsK1Rjy1Xaq6zispXao.jpg	http://ae01.alicdn.com/kf/HTB18aXvaIfrK1Rjy1Xdq6yemFXai.jpg	http://ae01.alicdn.com/kf/HTB16J8oaIfrK1RkSmLyq6xGApXaf.jpg	http://ae01.alicdn.com/kf/HTB1F8FpaInrK1RkHFrdq6xCoFXaR.jpg	http://ae01.alicdn.com/kf/HTB1fbVuaTHuK1RkSndVq6xVwpXap.jpg	套 (set/sets)	按最小计量单位出售	1	en_US		网纱	及膝裙	小圆领	女童	花瓣袖	无袖	欧美	尺码正常	否	绣花	KM138D	纯色	小孩儿	蓬蓬裙	付款减库存	7	0.25	34	27	2	400g for free shipping (Location: CN)	新手服务模板
33008153328	31110	Girls Dresses Princess Dress Dancing  dress Formal Wedding Birthday Party Wear Children Stage Fantasy Cloth Tutu Vestidos	http://ae01.alicdn.com/kf/HTB1f.ugTCzqK1RjSZPcq6zTepXam.jpg	http://ae01.alicdn.com/kf/HTB1l0Acavc3T1VjSZLeq6zZsVXaA.jpg	http://ae01.alicdn.com/kf/HTB1mTOPTrvpK1RjSZPiq6zmwXXa8.jpg	http://ae01.alicdn.com/kf/HTB18DWPTrvpK1RjSZPiq6zmwXXa9.jpg	http://ae01.alicdn.com/kf/HTB1vt5LTwDqK1RjSZSyq6yxEVXax.jpg	http://ae01.alicdn.com/kf/HTB1E49UTzTpK1RjSZKPq6y3UpXaO.jpg	套 (set/sets)	按最小计量单位出售	1	en_US		网纱	及膝裙	小圆领	女童	花瓣袖	无袖	欧美	尺码正常	否	绣花	KM194D	纯色	小孩儿	蓬蓬裙	付款减库存	7	0.25	34	27	2	400g for free shipping (Location: CN)	新手服务模板
